Date  ,Open  ,High  ,Low  ,Close    Close price adjusted for splits. ,Adj Close    Adjusted close price adjusted for splits and dividend and/or capital gain distributions. ,Volume  
"Oct 8, 2024","1,645.30","1,711.15","1,640.00","1,656.40","1,656.40","1,238,984"
"Oct 7, 2024","1,680.05","1,710.00","1,655.00","1,673.75","1,673.75","708,402"
"Oct 4, 2024","1,680.00","1,688.10","1,560.00","1,672.30","1,672.30","1,828,038"
"Oct 3, 2024","1,691.85","1,717.70","1,640.35","1,658.55","1,658.55","1,478,637"
"Oct 1, 2024","1,850.00","1,850.85","1,733.45","1,753.15","1,753.15","876,644"
"Sep 30, 2024","1,810.55","1,869.95","1,751.10","1,845.65","1,845.65","1,349,743"
"Sep 27, 2024","1,790.00","1,968.00","1,701.60","1,858.55","1,858.55","1,288,402"
"Sep 26, 2024","1,804.90","1,827.80","1,780.00","1,813.10","1,813.10","362,455"
"Sep 25, 2024","1,819.90","1,820.85","1,786.30","1,792.10","1,792.10","297,607"
"Sep 24, 2024","1,801.50","1,865.95","1,769.05","1,820.35","1,820.35","555,747"
"Sep 23, 2024","1,880.90","1,890.00","1,789.65","1,804.30","1,804.30","477,663"
"Sep 20, 2024",2:1 Stock Splits
"Sep 20, 2024","1,820.00","1,950.00","1,722.05","1,844.05","1,844.05","1,296,237"
"Sep 19, 2024","1,745.00","1,777.50","1,686.85","1,765.90","1,765.90","526,008"
"Sep 18, 2024","1,759.93","1,782.50","1,680.63","1,722.85","1,722.85","457,888"
"Sep 17, 2024","1,777.47","1,789.70","1,739.63","1,746.35","1,746.35","502,892"
"Sep 16, 2024","1,689.47","1,775.00","1,647.80","1,766.13","1,766.13","716,332"
"Sep 13, 2024","1,697.00","1,699.90","1,645.20","1,671.40","1,671.40","1,086,434"
"Sep 12, 2024","1,735.03","1,746.45","1,672.00","1,682.10","1,682.10","476,524"
"Sep 11, 2024","1,793.50","1,804.50","1,715.03","1,719.85","1,719.85","382,846"
"Sep 10, 2024","1,762.45","1,806.00","1,762.03","1,782.93","1,782.93","392,166"
"Sep 9, 2024","1,817.57","1,837.22","1,731.30","1,748.90","1,748.90","495,350"
