Date  ,Open  ,High  ,Low  ,Close    Close price adjusted for splits. ,Adj Close    Adjusted close price adjusted for splits and dividend and/or capital gain distributions. ,Volume  
"Oct 8, 2024",102.07,103.30,101.15,102.49,102.49,"28,947,367"
"Oct 7, 2024",106.16,107.40,100.80,102.07,102.07,"83,307,848"
"Oct 4, 2024",104.20,107.40,104.15,105.85,105.85,"79,454,589"
"Oct 3, 2024",103.25,106.75,103.00,105.06,105.06,"99,417,000"
"Oct 1, 2024",104.00,106.17,103.86,105.21,105.21,"120,187,762"
"Sep 30, 2024",108.89,109.26,106.81,107.21,107.21,"30,911,908"
"Sep 27, 2024",107.80,109.60,107.29,109.22,109.22,"40,191,522"
"Sep 26, 2024",105.20,107.49,104.56,107.29,107.29,"34,719,895"
"Sep 25, 2024",107.48,107.48,103.62,105.05,105.05,"71,227,249"
"Sep 24, 2024",111.00,111.24,107.60,107.83,107.83,"79,101,837"
"Sep 23, 2024",108.59,111.90,108.51,111.51,111.51,"35,372,759"
"Sep 20, 2024",108.00,109.16,106.31,108.41,108.41,"23,196,144"
"Sep 19, 2024",109.85,110.15,105.60,107.25,107.25,"21,178,477"
"Sep 18, 2024",108.30,109.98,107.78,108.75,108.75,"24,775,806"
"Sep 17, 2024",110.81,110.90,107.82,108.03,108.03,"18,548,760"
"Sep 16, 2024",111.30,112.20,110.26,110.81,110.81,"12,834,170"
"Sep 13, 2024",109.50,112.60,108.82,111.11,111.11,"28,921,320"
"Sep 12, 2024",108.70,109.47,107.00,108.72,108.72,"20,816,903"
"Sep 11, 2024",109.72,110.49,106.85,107.46,107.46,"22,838,612"
"Sep 10, 2024",110.19,110.63,109.37,109.59,109.59,"12,498,926"
"Sep 9, 2024",109.40,110.19,107.20,109.63,109.63,"27,017,545"
"Sep 6, 2024",112.90,113.13,109.75,110.00,110.00,"29,092,655"
"Sep 5, 2024",113.67,113.88,112.15,113.40,113.40,"18,290,375"
"Sep 4, 2024",114.05,114.53,112.74,112.94,112.94,"26,202,729"
"Sep 3, 2024",116.59,117.20,115.30,115.59,115.59,"10,681,101"
"Sep 2, 2024",116.94,117.49,115.62,116.52,116.52,"14,419,150"
"Aug 30, 2024",115.83,117.55,115.83,116.57,116.57,"26,208,535"
"Aug 29, 2024",114.75,115.89,114.50,115.53,115.53,"14,852,490"
"Aug 28, 2024",116.05,116.34,114.51,114.75,114.75,"14,645,860"
"Aug 27, 2024",116.25,116.65,115.70,115.96,115.96,"9,861,808"
"Aug 26, 2024",116.32,116.84,115.81,116.16,116.16,"11,190,669"
"Aug 23, 2024",117.68,117.90,116.11,116.27,116.27,"10,286,090"
"Aug 22, 2024",116.64,117.98,116.55,117.36,117.36,"18,399,460"
"Aug 21, 2024",117.39,117.75,115.27,116.41,116.41,"31,985,161"
"Aug 20, 2024",115.50,117.90,114.97,117.35,117.35,"24,197,410"
"Aug 19, 2024",114.34,115.87,113.85,115.21,115.21,"16,314,063"
"Aug 16, 2024",112.00,113.55,111.90,113.04,113.04,"27,059,803"
"Aug 14, 2024",114.55,115.10,112.52,113.57,113.57,"20,442,740"
"Aug 13, 2024",115.32,115.99,113.60,114.30,114.30,"17,938,540"
"Aug 12, 2024",114.95,115.89,113.81,114.60,114.60,"15,808,638"
"Aug 9, 2024",115.75,116.49,113.85,115.27,115.27,"22,149,553"
"Aug 8, 2024",116.25,116.30,113.80,114.02,114.02,"27,941,633"
"Aug 7, 2024",116.00,116.25,114.03,115.93,115.93,"28,249,277"
