Date  ,Open  ,High  ,Low  ,Close    Close price adjusted for splits. ,Adj Close    Adjusted close price adjusted for splits and dividend and/or capital gain distributions. ,Volume  
"Oct 8, 2024",327.30,331.00,322.35,327.15,327.15,"21,148,292"
"Oct 7, 2024",340.00,340.00,325.00,328.95,328.95,"13,851,446"
"Oct 4, 2024",343.00,347.45,337.75,338.85,338.85,"20,121,706"
"Oct 3, 2024",343.00,349.90,342.60,344.15,344.15,"19,350,466"
"Oct 1, 2024",351.10,356.00,349.95,350.80,350.80,"9,856,291"
"Sep 30, 2024",354.25,357.45,349.70,352.85,352.85,"16,356,171"
"Sep 27, 2024",362.20,363.30,353.35,354.25,354.25,"33,148,043"
"Sep 26, 2024",364.05,366.10,357.20,365.45,365.45,"18,733,959"
"Sep 25, 2024",353.85,366.25,352.35,363.75,363.75,"40,770,462"
"Sep 24, 2024",344.55,351.00,342.35,350.05,350.05,"26,145,769"
"Sep 23, 2024",342.00,342.50,340.25,341.15,341.15,"6,542,941"
"Sep 20, 2024",338.15,342.95,334.75,340.85,340.85,"31,236,123"
"Sep 19, 2024",336.20,338.35,333.10,334.90,334.90,"10,589,610"
"Sep 18, 2024",338.50,338.90,333.10,334.30,334.30,"6,583,254"
"Sep 17, 2024",336.70,340.00,334.50,336.90,336.90,"11,451,846"
"Sep 16, 2024",337.25,341.50,337.05,338.25,338.25,"7,748,570"
"Sep 13, 2024",339.80,341.25,336.10,337.25,337.25,"10,417,461"
"Sep 12, 2024",334.85,339.00,333.25,338.20,338.20,"18,410,837"
"Sep 11, 2024",336.90,337.25,332.00,333.20,333.20,"10,134,008"
"Sep 10, 2024",327.00,335.30,327.00,334.15,334.15,"15,472,387"
"Sep 9, 2024",327.70,329.20,323.55,328.55,328.55,"18,597,200"
"Sep 6, 2024",333.05,333.10,325.00,329.80,329.80,"23,755,639"
"Sep 5, 2024",332.35,334.30,329.60,331.25,331.25,"13,912,371"
"Sep 4, 2024",331.20,334.70,331.00,332.90,332.90,"9,025,610"
"Sep 3, 2024",336.00,337.95,334.00,334.65,334.65,"8,434,423"
"Sep 2, 2024",338.40,339.90,334.20,335.55,335.55,"9,789,776"
"Aug 30, 2024",335.00,340.85,334.05,337.40,337.40,"22,713,812"
"Aug 29, 2024",332.50,335.90,328.80,333.30,333.30,"17,653,536"
"Aug 28, 2024",335.35,338.90,333.75,334.45,334.45,"8,790,600"
"Aug 27, 2024",339.00,341.45,335.00,335.35,335.35,"9,589,690"
"Aug 26, 2024",336.45,341.50,335.85,338.25,338.25,"7,993,675"
"Aug 23, 2024",334.65,336.95,333.35,336.25,336.25,"7,494,822"
