Date  ,Open  ,High  ,Low  ,Close    Close price adjusted for splits. ,Adj Close    Adjusted close price adjusted for splits and dividend and/or capital gain distributions. ,Volume  
"Oct 8, 2024",916.00,924.80,893.85,919.80,919.80,"21,177,886"
"Oct 7, 2024",942.00,944.45,915.00,927.85,927.85,"11,772,546"
"Oct 4, 2024",930.00,949.20,920.00,930.75,930.75,"19,187,758"
"Oct 3, 2024",939.00,950.15,925.00,925.70,925.70,"24,418,517"
"Oct 1, 2024",976.90,984.50,958.90,965.20,965.20,"10,085,203"
"Sep 30, 2024",993.00,996.95,971.80,974.65,974.65,"12,225,895"
"Sep 27, 2024",996.00,"1,000.40",989.15,993.00,993.00,"10,360,030"
"Sep 26, 2024",970.80,994.95,965.60,993.15,993.15,"21,640,021"
"Sep 25, 2024",982.40,982.50,959.25,963.60,963.60,"12,959,075"
"Sep 24, 2024",974.00,985.00,972.60,977.30,977.30,"12,755,422"
"Sep 23, 2024",973.50,979.20,966.05,971.80,971.80,"10,254,297"
"Sep 20, 2024",967.00,977.50,949.20,970.85,970.85,"16,764,981"
"Sep 19, 2024",970.40,978.95,956.35,967.00,967.00,"13,466,770"
"Sep 18, 2024",978.20,983.70,957.15,962.05,962.05,"12,044,431"
"Sep 17, 2024",995.00,995.00,960.00,974.95,974.95,"44,516,613"
"Sep 16, 2024",997.00,999.90,984.50,988.40,988.40,"5,836,274"
"Sep 13, 2024",994.90,"1,006.00",988.00,992.10,992.10,"13,203,676"
"Sep 12, 2024",976.30,988.00,958.00,986.15,986.15,"25,675,836"
"Sep 11, 2024","1,000.00","1,011.55",971.25,976.30,976.30,"36,140,411"
"Sep 10, 2024","1,049.00","1,049.00","1,032.20","1,035.80","1,035.80","6,919,238"
"Sep 9, 2024","1,049.35","1,049.95","1,026.25","1,038.70","1,038.70","7,206,054"
"Sep 6, 2024","1,068.80","1,072.95","1,040.50","1,049.35","1,049.35","8,717,377"
"Sep 5, 2024","1,081.00","1,085.85","1,066.95","1,069.15","1,069.15","7,900,593"
