Date  ,Open  ,High  ,Low  ,Close    Close price adjusted for splits. ,Adj Close    Adjusted close price adjusted for splits and dividend and/or capital gain distributions. ,Volume  
"Oct 8, 2024","1,625.00","1,635.00","1,603.60","1,629.10","1,629.10","1,311,331"
"Oct 7, 2024","1,624.95","1,632.05","1,600.20","1,618.55","1,618.55","1,619,326"
"Oct 4, 2024","1,591.00","1,648.40","1,591.00","1,616.45","1,616.45","2,927,576"
"Oct 3, 2024","1,615.00","1,631.15","1,596.15","1,604.05","1,604.05","2,332,279"
"Oct 1, 2024","1,580.00","1,642.90","1,580.00","1,625.40","1,625.40","5,176,596"
"Sep 30, 2024","1,606.00","1,606.00","1,567.85","1,577.20","1,577.20","3,460,691"
"Sep 27, 2024","1,625.00","1,664.80","1,604.55","1,609.25","1,609.25","3,539,822"
"Sep 26, 2024","1,610.00","1,619.85","1,596.00","1,606.95","1,606.95","2,173,853"
"Sep 25, 2024","1,637.10","1,643.10","1,590.05","1,602.75","1,602.75","2,505,756"
"Sep 24, 2024","1,601.55","1,643.50","1,598.10","1,637.10","1,637.10","1,781,972"
"Sep 23, 2024","1,624.95","1,631.00","1,594.50","1,607.15","1,607.15","1,535,902"
"Sep 20, 2024","1,608.00","1,629.30","1,582.40","1,622.05","1,622.05","3,984,683"
"Sep 19, 2024","1,620.00","1,635.35","1,587.05","1,595.35","1,595.35","3,032,379"
"Sep 18, 2024","1,648.15","1,648.15","1,589.00","1,605.40","1,605.40","2,930,297"
"Sep 17, 2024","1,649.00","1,672.00","1,641.10","1,651.55","1,651.55","1,499,644"
"Sep 16, 2024","1,651.10","1,670.00","1,646.50","1,649.00","1,649.00","1,060,407"
"Sep 13, 2024","1,649.90","1,659.90","1,638.00","1,656.05","1,656.05","1,373,924"
"Sep 12, 2024","1,619.90","1,649.60","1,606.00","1,643.25","1,643.25","2,356,422"
"Sep 11, 2024","1,612.00","1,627.00","1,598.10","1,602.60","1,602.60","1,395,340"
"Sep 10, 2024","1,592.00","1,613.70","1,578.50","1,607.40","1,607.40","2,541,973"
"Sep 9, 2024","1,623.20","1,631.30","1,574.75","1,579.20","1,579.20","2,965,098"
"Sep 6, 2024","1,639.50","1,651.20","1,613.95","1,623.25","1,623.25","1,672,937"
"Sep 5, 2024","1,653.00","1,657.90","1,632.90","1,639.50","1,639.50","1,080,904"
"Sep 4, 2024","1,619.75","1,650.00","1,608.90","1,645.30","1,645.30","1,643,875"
"Sep 3, 2024","1,639.00","1,659.25","1,632.10","1,644.10","1,644.10","1,739,553"
"Sep 2, 2024","1,636.50","1,662.00","1,635.55","1,646.65","1,646.65","1,582,818"
"Aug 30, 2024","1,647.00","1,663.75","1,631.10","1,636.50","1,636.50","1,926,984"
"Aug 29, 2024","1,620.05","1,656.25","1,620.05","1,647.35","1,647.35","2,194,339"
"Aug 28, 2024","1,620.00","1,665.00","1,616.20","1,627.35","1,627.35","3,033,590"
"Aug 27, 2024","1,644.00","1,645.00","1,622.10","1,624.60","1,624.60","1,083,351"
"Aug 26, 2024","1,610.00","1,643.00","1,609.00","1,640.15","1,640.15","1,510,157"
"Aug 23, 2024","1,613.05","1,616.95","1,593.05","1,598.40","1,598.40","1,020,913"
"Aug 22, 2024","1,605.05","1,620.65","1,596.00","1,611.25","1,611.25","1,562,554"
"Aug 21, 2024","1,616.00","1,628.00","1,602.00","1,604.65","1,604.65","1,935,929"
"Aug 20, 2024","1,601.00","1,633.65","1,595.25","1,628.60","1,628.60","2,442,281"
"Aug 19, 2024","1,587.85","1,602.70","1,575.85","1,594.65","1,594.65","1,640,507"
