Date  ,Open  ,High  ,Low  ,Close    Close price adjusted for splits. ,Adj Close    Adjusted close price adjusted for splits and dividend and/or capital gain distributions. ,Volume  
"Oct 8, 2024",531.55,533.80,520.30,526.95,526.95,"5,751,402"
"Oct 7, 2024",538.00,541.70,525.95,531.45,531.45,"4,939,037"
"Oct 4, 2024",528.05,541.95,528.05,533.55,533.55,"5,961,377"
"Oct 3, 2024",540.10,542.40,526.25,530.15,530.15,"7,017,684"
"Oct 1, 2024",540.20,549.60,540.20,546.75,546.75,"4,705,637"
"Sep 30, 2024",538.00,544.50,534.00,541.45,541.45,"4,099,723"
"Sep 27, 2024",548.90,558.90,540.70,541.80,541.80,"13,231,192"
"Sep 26, 2024",538.70,543.10,535.70,541.90,541.90,"5,701,700"
"Sep 25, 2024",538.80,539.40,530.75,536.20,536.20,"4,032,598"
"Sep 24, 2024",532.20,541.90,529.35,539.55,539.55,"6,177,847"
"Sep 23, 2024",539.10,540.40,532.00,534.90,534.90,"4,272,145"
"Sep 20, 2024",537.90,540.75,531.00,539.10,539.10,"8,332,116"
"Sep 19, 2024",544.20,551.45,529.15,533.35,533.35,"10,484,591"
"Sep 18, 2024",549.05,549.05,532.65,538.15,538.15,"8,332,760"
"Sep 17, 2024",549.00,554.90,547.05,551.90,551.90,"4,364,119"
"Sep 16, 2024",553.00,556.85,549.00,551.90,551.90,"5,544,289"
"Sep 13, 2024",533.80,552.50,530.85,550.60,550.60,"17,959,853"
"Sep 12, 2024",520.45,532.00,517.75,530.05,530.05,"7,889,737"
"Sep 11, 2024",525.00,526.25,513.25,514.35,514.35,"4,130,762"
"Sep 10, 2024",516.80,528.00,514.00,525.75,525.75,"5,143,636"
"Sep 9, 2024",517.10,521.75,513.45,514.85,514.85,"5,959,770"
"Sep 6, 2024",524.85,529.90,518.45,520.60,520.60,"7,289,977"
"Sep 5, 2024",521.20,526.00,519.50,524.85,524.85,"6,034,559"
"Sep 4, 2024",528.00,528.25,516.75,519.15,519.15,"10,201,064"
"Sep 3, 2024",533.00,540.85,529.50,536.05,536.05,"7,528,343"
"Sep 2, 2024",538.40,542.00,531.85,532.45,532.45,"7,867,991"
"Aug 30, 2024",541.70,542.00,535.70,538.40,538.40,"9,717,402"
"Aug 29, 2024",535.00,541.95,534.05,538.70,538.70,"12,842,659"
"Aug 28, 2024",520.00,538.10,517.85,534.60,534.60,"17,187,783"
"Aug 27, 2024",520.00,523.25,516.00,517.15,517.15,"3,982,898"
"Aug 26, 2024",516.00,524.80,515.95,520.00,520.00,"8,675,690"
"Aug 23, 2024",519.90,521.45,511.35,512.40,512.40,"5,638,853"
